LIBELLE,SERVICE,latitude,longitude,retard_moyen
TREBES,National,43.205548,2.434689,
LA ROCHE MAURICE,National,48.474088,-4.205225,
ST ERME,National,49.526756,3.857621,
SIMIANE,National,43.434732,5.425819,
HAUTMONT,National,50.253974,3.915572,
DINGE,National,48.350708,-1.685832,
PONT DE ROIDE,National,47.383189,6.766646,
LUXE,National,45.887296,0.1092849999999999,
LES SALELLES,National,44.483145,3.279743,
COLOMBIER FONTAINE,National,47.455606,6.689278,
LAFARGE,National,45.634028,1.130878,
VILLENEUVE LOUBET PLAGE,National,43.629599,7.134326,
MONTE CARLO COUNTRY CLUB,National,43.754942,7.449143,
ROUBAIX WATTRELOS,National,50.69029,3.204179,
ROUBAIX WATTRELOS,National,50.690599,3.203933,
BEINHEIM EMBRANCHEMENT,National,48.871882,8.077428,
LE BUISSON,National,44.847049,0.908271,
LE BUISSON,National,44.848772,0.902143,
TOURNES,National,49.793233,4.627944,
TOURNES,National,49.793233,4.627944,
MAGNETTE,National,46.464172,2.602899,
BRETONCELLES,National,48.432754,0.892461,
BON ENCONTRE,National,44.174579,0.661067,
BON ENCONTRE,National,44.174642,0.661339,
CH ATEAU DU LOIR,National,47.683149,0.41497,
CH ATEAU DU LOIR,National,47.682955,0.415046,
CALONNE RICOUART,National,50.482126,2.480203,
LEYMENT,National,45.936471,5.285128,
ISSY,National,48.819965,2.259487,
TAILLEBOURG,National,45.830167,-0.644427,
ST JORY,National,43.737871,1.371875,
LANDAS,National,50.468752,3.290156,
BRANDERION,National,47.782349,-3.194929,
PIERREVILLE,National,48.548451,6.124302,
VINCEY,National,48.343292,6.335743,
CULOZ,National,45.842855,5.778673,
CULOZ,National,45.843232,5.778957,
ST MEDARD DE GUIZIERES,National,45.01551,-0.048396,
DISSAY,National,46.704009,0.421512,
CLICHY LEVALLOIS,National,48.897649,2.297533,
CLICHY LEVALLOIS,National,48.897856,2.297881,
CLICHY LEVALLOIS,National,48.897954,2.297437,
CLICHY LEVALLOIS,National,48.897409,2.297183,
BUZY EN BEARN,National,43.148218,-0.4558389999999999,
BUZY EN BEARN,National,43.146677,-0.456819,
SARRALBE,National,49.00078,7.036304,
SARRALBE,National,49.000777,7.036296,
SARRALBE,National,48.999519,7.037407,
CAUDERAN MERIGNAC,National,44.842554,-0.627446,
ONZAIN CHAUMONT SUR LOIRE,National,47.491812,1.186124,
MONT SUR MEURTHE,National,48.560085,6.450134,
MONT SUR MEURTHE,National,48.560085,6.450134,
BRUZ,National,48.028739,-1.751863,
ST JEAN PLA DE CORTS,National,42.516049,2.789189,
FENOUILLET ST ALBAN,National,43.683513,1.401941,
HALSOU LARRESSORE,National,43.378282,-1.428103,
CHAUNY,National,49.610498,3.222548,
ST RAMBERT D ALBON,National,45.297988,4.810325,
ST RAMBERT D ALBON,National,45.297928,4.81054,
ST RAMBERT D ALBON,National,45.299813,4.809705,
CH ATRES (AUBE),National,48.499074,3.855469,
LAISSEY,National,47.299142,6.233694,
LILLE ST SAUVEUR,National,50.625696,3.073604,
BEAUCAIRE MARCHANDISES,National,43.807993,4.622742,
BEAUCAIRE MARCHANDISES,National,43.807687,4.623846,
BEAUCAIRE MARCHANDISES,National,43.807993,4.622742,
BEAUCAIRE MARCHANDISES,National,43.807687,4.623846,
PAVILLY,National,49.564018,0.95055,
BORDS,National,45.894425,-0.798547,
BORNEL BELLE EGLISE,National,49.194541,2.207102,
COUSSAC BONNEVAL,National,45.507531,1.311167,
METZ,National,49.11009,6.177382,10.065882352941177
NIEDERBRONN LES BAINS,National,48.952344,7.633762,
SERMIZELLES VEZELAY,National,47.528867,3.792895,
ST LEGER SUR DHEUNE,National,46.848425,4.628442,
MAULE,National,48.909243,1.857318,
CHOISY LE ROI,National,48.76374,2.411227,
CHOISY LE ROI,National,48.762586,2.412119,
ST ETIENNE DE MONTLUC,National,47.274743,-1.785821,
DUNKERQUE,National,51.029268,2.36919,6.367260273972603
DUNKERQUE,National,51.034645,2.364679,6.367260273972603
WIZERNES,National,50.705313,2.229124,
AMBERIEU,National,45.953823,5.34239,
AMBERIEU,National,45.95377,5.342138,
AMBERIEU,National,45.953904,5.342554,
BEAUMONT DE LOMAGNE,National,43.878245,0.986239,
POUZAUGES,National,46.75251,-0.814156,
SALINDRES,National,44.173128,4.153212,
ROGNAC,National,43.486578,5.230872,
ROGNAC,National,43.486678,5.230872,
FRANOIS,National,47.227428,5.937512,
FRANOIS,National,47.22558,5.931846,
CORBIE,National,49.912474,2.501546,
NORTKERQUE,National,50.882883,2.02338,
RAEDERSHEIM,National,47.887085,7.284061,
VEUXHAULLES,National,47.937575,4.799636,
CH ATEL CENSOIR,National,47.537776,3.63514,
DANGE,National,46.937876,0.608811,
OBERMODERN,National,48.842067,7.547135,
OBERMODERN,National,48.842508,7.547028,
LES PERRIERES,National,47.006169,3.148439,
BARJAC,National,44.499384,3.410794,
GIVORS,National,45.585119,4.765927,
GIVORS,National,45.585145,4.766022,
ORLY VILLE,National,48.741909,2.40282,
MILLY SUR THERAIN,National,49.503863,1.988639,
LE CENDRE ORCET,National,45.723931,3.188612,
PONTCH ATEAU,National,47.436308,-2.088383,
GAILLON AUBEVOYE,National,49.17476,1.352438,
BELFORT,National,47.631133,6.854826,
BELFORT,National,47.629628,6.855519,
BELFORT,National,47.620787,6.866488,
CIRY LE NOBLE,National,46.604064,4.299611,
LA MEMBROLLE SUR CHOISILLE,National,47.431233,0.640956,
WIMILLE WIMEREUX,National,50.764181,1.61374,
BRUNOY,National,48.700459,2.505561,
LA TAYE,National,48.407906,1.373681,
ERSTEIN,National,48.423296,7.638508,
AVIGNON CENTRE,National,43.941707,4.80556,
AVIGNON CENTRE,National,43.941171,4.805219,
SENS,National,48.198758,3.267376,
EPINAY SUR SEINE TT,National,48.954264,2.301875,
CHARMES,National,48.378685,6.301733,
SIN LE NOBLE,National,50.35654,3.11261,
PONT DE VEYLE,National,46.268881,4.890964,
RAI AUBE,National,48.743763,0.553723,
TRESSIN,National,50.61213,3.18946,
LA BORNE BLANCHE,National,49.126637,2.506259,
SELTZ,National,48.896706,8.098151,
LAGNY THORIGNY,National,48.882113,2.703967,
BOURG MADAME,National,42.432413,1.948684,
ST PIERRE LES ELBEUF,National,49.268169,1.036414,
FORMERIE,National,49.65434,1.722941,
HEMING,National,48.691699,6.971237,
LAMAGISTERE,National,44.12677,0.825638,
LA ROCHE SUR YON,National,46.672115,-1.435831,
SARREBOURG,National,48.738717,7.052269,
SARREBOURG,National,48.738621,7.051728,
SARREBOURG,National,48.738445,7.051941,
MARSEILLAN PLAGE,National,43.318458,3.536118,
LA FALOISE,National,49.696928,2.349102,
MONTBAZON,National,47.291713,0.721463,
LE HAVRE GRAVILLE,National,49.499771,0.160872,
LE HAVRE GRAVILLE,National,49.499902,0.161551,
SEREZIN,National,45.627231,4.817814,
THEOULE SUR MER,National,43.513405,6.936843,
ROPPENHEIM,National,48.851227,8.062359,
ROPPENHEIM,National,48.849609,8.059807,
MONTEREAU,National,48.380075,2.93489,
MONTEREAU,National,48.380063,2.936173,
